"Iteration";"Year";"Type";"N"
"1";"133";"Simulation";"222.343322960033"
"1";"134";"Simulation";"210.272847931838"
"1";"135";"Simulation";"209.440880353749"
"1";"136";"Simulation";"196.790431244147"
"1";"137";"Simulation";"204.266817515091"
"1";"138";"Simulation";"207.726208894845"
"1";"139";"Simulation";"201.770285729291"
"1";"140";"Simulation";"202.414791143106"
"1";"141";"Simulation";"198.897018308655"
"1";"142";"Simulation";"190.190186251637"
"1";"143";"Simulation";"202.134658743237"
"1";"144";"Simulation";"201.842123982539"
"1";"145";"Simulation";"201.916102185854"
"1";"146";"Simulation";"196.919909622618"
"1";"147";"Simulation";"184.171793546375"
"1";"148";"Simulation";"193.549522034631"
"1";"149";"Simulation";"196.054315400597"
"1";"150";"Simulation";"190.819991730362"
"1";"151";"Simulation";"192.399270512319"
"1";"152";"Simulation";"191.701037694339"
"1";"153";"Simulation";"187.208509429054"
"1";"154";"Simulation";"183.387405469455"
"1";"155";"Simulation";"188.616133483415"
"1";"156";"Simulation";"176.876098356585"
"1";"157";"Simulation";"182.879207728322"
"1";"158";"Simulation";"180.734586190256"
"1";"159";"Simulation";"175.881708393764"
"1";"160";"Simulation";"165.611349613707"
"1";"161";"Simulation";"166.579209461293"
"1";"162";"Simulation";"172.605485307513"
"1";"163";"Simulation";"170.148689489859"
"1";"164";"Simulation";"165.630478411889"
"1";"165";"Simulation";"158.386238588812"
"1";"166";"Simulation";"157.50744343593"
"1";"167";"Simulation";"164.830571953984"
"1";"168";"Simulation";"163.635657623404"
"1";"169";"Simulation";"164.351058778424"
"1";"170";"Simulation";"155.638549513175"
"1";"171";"Simulation";"157.58798694867"
"1";"172";"Simulation";"166.0655559702"
"1";"173";"Simulation";"162.417299504818"
"1";"174";"Simulation";"160.159445291409"
"1";"175";"Simulation";"155.574864086556"
"1";"176";"Simulation";"156.12727302897"
"1";"177";"Simulation";"158.014748231141"
"1";"178";"Simulation";"151.527171960234"
"1";"179";"Simulation";"151.634809329528"
"1";"180";"Simulation";"140.368969487459"
"1";"181";"Simulation";"134.674357645554"
"1";"182";"Simulation";"146.555969600247"
"1";"183";"Simulation";"143.397216691079"
"1";"184";"Simulation";"137.356731785565"
"1";"185";"Simulation";"133.601736924129"
"1";"186";"Simulation";"139.514768851479"
"1";"187";"Simulation";"141.144969156883"
"1";"188";"Simulation";"142.502875626063"
"1";"189";"Simulation";"133.849533394837"
"1";"190";"Simulation";"128.229292312243"
"1";"191";"Simulation";"137.070493024127"
"1";"192";"Simulation";"137.269813302886"
"1";"193";"Simulation";"142.021090149019"
"1";"194";"Simulation";"142.459761836137"
"1";"195";"Simulation";"136.856471492641"
"1";"196";"Simulation";"127.2447462931"
"1";"197";"Simulation";"135.317020041744"
